duration,total_packets,avg_pkt_size,std_pkt_size,max_pkt_size,min_pkt_size,avg_delta_time,std_delta_time,max_delta_time,class
0.014614,13,261.53846153846155,392.88569787870006,1571,60,0.0012178333333333336,0.00245628875994298,0.009218,control
3043.975507,26,261.53846153846155,392.88569787870006,1571,60,121.75902028,596.4924871255452,3043.963478,control
0.010059,13,261.53846153846155,392.88569787870006,1571,60,0.00083825,0.0011408027966451227,0.004317,control
1374.741716,26,261.53846153846155,392.88569787870006,1571,60,54.98966864000001,269.39120162695065,1374.731639,control
1374.745033,26,261.53846153846155,392.88569787870006,1571,60,54.989801320000005,269.39051767338816,1374.728421,control
0.009032,13,261.53846153846155,392.88569787870006,1571,60,0.0007526666666666667,0.0011626847045619125,0.004384,control
0.010042,13,261.53846153846155,392.88569787870006,1571,60,0.0008368333333333334,0.0010831427139988935,0.004159,control
0.009065,13,261.53846153846155,392.88569787870006,1571,60,0.0007554166666666667,0.000999278611326969,0.003804,control
0.013707,13,261.53846153846155,392.88569787870006,1571,60,0.00114225,0.0017345967891222829,0.006649,control
0.010503,13,261.53846153846155,392.88569787870006,1571,60,0.0008752500000000002,0.0010085418620463902,0.003787,control
1156.485811,26,261.53846153846155,392.88569787870006,1571,60,46.25943244,226.61855777443006,1156.459098,control
0.01401,13,261.53846153846155,392.88569787870006,1571,60,0.0011675,0.002092927634519008,0.007887,control
1155.47158,24,266.7916666666667,406.52818466934804,1571,60,50.2378947826087,235.63283380948283,1155.453852,control
2008.683311,26,261.53846153846155,392.88569787870006,1571,60,80.34733244,393.6140611048453,2008.654543,control
0.013177,13,261.53846153846155,392.88569787870006,1571,60,0.001098083333333333,0.0014489643691463071,0.005302,control
2009.689612,39,261.53846153846155,392.8856978787,1571,60,52.886568736842115,227.05566271482354,1156.459839,control
0.008157,13,261.53846153846155,392.88569787870006,1571,60,0.0006797500000000001,0.0009950362744644036,0.00382,control
3104.717571,26,261.53846153846155,392.88569787870006,1571,60,124.18870283999999,608.3930457254611,3104.693753,control
3105.728979,26,261.53846153846155,392.88569787870006,1571,60,124.22915916,608.5931459045337,3105.714496,control
3263.595378,26,261.53846153846155,392.88569787870006,1571,60,130.54381512,639.5281799227282,3263.579249,control
0.011368,13,261.53846153846155,392.88569787870006,1571,60,0.0009473333333333334,0.0014021774931235423,0.005359,control
2668.692251,26,261.53846153846155,392.88569787870006,1571,60,106.74769004000001,522.9492659694048,2668.665416,control
0.008986,13,261.53846153846155,392.88569787870006,1571,60,0.0007488333333333334,0.0011249537644819998,0.004276,control
0.017038,13,261.53846153846155,392.88569787870006,1571,60,0.0014198333333333335,0.002509050013894147,0.00955,control
0.008276,13,261.53846153846155,392.88569787870006,1571,60,0.0006896666666666669,0.0010242319344540842,0.003871,control
0.008704,13,261.53846153846155,392.88569787870006,1571,60,0.0007253333333333335,0.001085685600080531,0.004144,control
0.012634,13,261.53846153846155,392.88569787870006,1571,60,0.0010528333333333334,0.0018832299307897115,0.007006,control
0.005888,13,261.53846153846155,392.88569787870006,1571,60,0.0004906666666666667,0.0005727328250492449,0.002055,control
0.00838,13,261.53846153846155,392.88569787870006,1571,60,0.0006983333333333334,0.0010355996116045794,0.003879,control
0.008939,11,273.0,421.99870745170426,1571,60,0.0008938999999999999,0.0009772189570408465,0.00358,control
0.00999,13,261.53846153846155,392.88569787870006,1571,60,0.0008325,0.0011538428185849231,0.004438,control
0.008005,13,261.53846153846155,392.88569787870006,1571,60,0.0006670833333333333,0.0008748273599529351,0.003144,control
0.003408,13,261.53846153846155,392.88569787870006,1571,60,0.000284,0.0004065779957974443,0.001514,control
0.010371,13,261.53846153846155,392.88569787870006,1571,60,0.00086425,0.0014920007889296393,0.00566,control
0.010263,13,261.53846153846155,392.88569787870006,1571,60,0.00085525,0.0013829754230763947,0.005285,control
0.009554,13,261.53846153846155,392.88569787870006,1571,60,0.0007961666666666667,0.0011801869084551349,0.004542,control
0.011093,13,261.53846153846155,392.88569787870006,1571,60,0.0009244166666666666,0.0011736379664908975,0.004473,control
0.010529,13,261.53846153846155,392.88569787870006,1571,60,0.0008774166666666669,0.0015524674692422881,0.005873,control
0.015934,13,261.53846153846155,392.88569787870006,1571,60,0.0013278333333333334,0.0017066725341696014,0.004837,control
0.010119,13,261.53846153846155,392.88569787870006,1571,60,0.0008432499999999999,0.001315188777641192,0.005034,control
0.004504,13,261.53846153846155,392.88569787870006,1571,60,0.00037533333333333337,0.0005573998166088284,0.002076,control
0.00904,13,261.53846153846155,392.88569787870006,1571,60,0.0007533333333333333,0.0011562806272219944,0.004421,control
0.009387,13,261.53846153846155,392.88569787870006,1571,60,0.0007822500000000003,0.0012430174392045617,0.004769,control
0.009701,13,261.53846153846155,392.88569787870006,1571,60,0.0008084166666666666,0.0011440044768511858,0.004392,control
0.008716,13,261.53846153846155,392.88569787870006,1571,60,0.0007263333333333333,0.0011521853390646644,0.004379,control
0.013399,13,261.53846153846155,392.88569787870006,1571,60,0.0011165833333333334,0.0018131611648505555,0.00689,control
0.013549,13,261.53846153846155,392.88569787870006,1571,60,0.0011290833333333335,0.002076929723507488,0.007804,control
0.009104,13,261.53846153846155,392.88569787870006,1571,60,0.0007586666666666666,0.0010743399782605545,0.004037,control
0.009263,13,261.53846153846155,392.88569787870006,1571,60,0.0007719166666666665,0.0010885066573317573,0.004201,control
0.010422,13,261.53846153846155,392.88569787870006,1571,60,0.0008685,0.0013165959580169868,0.004998,control
122.310041,26,261.53846153846155,392.88569787870006,1571,60,4.89240164,23.9646772951131,122.294864,control
